日期,训练编号,来源,题号,模块,子题型,正确答案,用户答案,结果,用时秒,错误模式ID,备注
2026-09-13,training-001,粉笔快速智能练习,1,判断推理,类比推理,C,C,正确,,,
2026-09-13,training-001,粉笔快速智能练习,2,判断推理,类比推理,A,C,错误,,EP-001,三词复合关系
2026-09-13,training-001,粉笔快速智能练习,3,判断推理,定义判断,D,D,正确,,,
2026-09-13,training-001,粉笔快速智能练习,4,判断推理,逻辑推理,B,B,正确,,,
2026-09-13,training-001,粉笔快速智能练习,5,判断推理,排序约束,D,A,错误,,EP-002,具体错因待确认
2026-09-13,training-001,粉笔快速智能练习,6,数量关系,概率,D,B,错误,,EP-003,连续独立事件
2026-09-13,training-001,粉笔快速智能练习,7,判断推理,类比推理,D,D,正确,,,
2026-09-13,training-001,粉笔快速智能练习,8,判断推理,必要前提,A,A,正确,,,
2026-09-13,training-001,粉笔快速智能练习,9,数量关系,排列组合,B,B,正确,,,
2026-09-13,training-001,粉笔快速智能练习,10,判断推理,类比推理,B,B,正确,,,
2026-09-13,training-001,粉笔快速智能练习,11,资料分析,基期量,C,B,错误,,EP-004,现期5631.6同比+7.8%求基期
2026-09-13,training-001,粉笔快速智能练习,12,资料分析,比重百分点变化,C,D,错误,,EP-005,展览服务人次占比两期变化
2026-09-13,training-001,粉笔快速智能练习,13,资料分析,同比增量计数,B,B,正确,,,
2026-09-13,training-001,粉笔快速智能练习,14,资料分析,平均数,B,B,正确,,,
2026-09-13,training-001,粉笔快速智能练习,15,资料分析,增长率趋势,A,A,正确,,,
