日期,主题,来源类型,来源,核心结论,证据强度,是否采用,验证方式,备注
2026-09-13,资料分析系统架构,公开课程,花生十三B站公开课程/课程目录,"公开内容长期按速算→ABRX→增长→份数/假设分配→比重/平均/倍数等组织，适合作为资料恢复架构参考",中高,是-采用框架,近年真题+用户速度验证,"不复制课程讲义；具体技巧标适用条件"
2026-09-13,资料分析学习卡片,学员结构化笔记,MarginNote社区《资料分析》学习集分享,"基于2026考季课程整理600+卡片并按速算、ABRX、比重、比较、平均倍数、特殊考点分层；启发本仓库用题型识别+方法步骤+适用条件组织笔记",中,是-采用组织方式,用户恢复效率+真题验证,"只提炼结构，不复制原卡片"
2026-09-13,资料分析速算复盘,学员复盘视频,B站花生十三资料速算复盘/课程整理,"学员常将加减乘除各类速算独立整理，说明计算工具应按场景和选项差距训练，而非只背公式",中,是-候选,分模块计时验证,"后续审计每种速算的误差条件"
2026-09-13,判断推理图推框架,公开课程+学员笔记,刘文超判断推理公开课及站内笔记,"高频框架为元素相同→位置、相似→样式、不同→属性/数量，并扩展点线面素角与空间题；适合作为图推检索入口",中高,是-采用检索框架,近年图推真题验证,"不是机械固定顺序，先看最显眼特征"
2026-09-13,言语系统架构,公开课程,阿里木江公开系统课目录,"覆盖中心理解、主题词/脉络、标题细节、排序填句接语和逻辑填空语境关系，适合作为言语完整题型地图",中高,是-采用结构,近年真题验证,"不同老师对对策优先等规则需交叉验证"
2026-09-13,言语快速恢复,学员思维导图,B站《快速复习阿里木江言语思维导图》,"已有基础的考生可把长课程压缩成思维导图快速复习，再用真题校正，契合用户四年后恢复场景",中,是-采用学习方式,回忆测试+真题结果,"不等于思维导图内容全部正确"
2026-09-13,考场实战复盘,公开模考复盘,陈怀安2026/2027国省考模考复盘,"持续按资料、数量、判断、言语等模块复盘并提供第一视角，适合后续研究取舍、短路径和时间结构",中高,后续重点采用,整卷/模考个人数据验证,"当前恢复期暂不复制其一次模考顺序"
2026-09-13,考生课程评价,个人经验帖,知乎等公开考公经验,"常见共识是资料/数量技巧训练收益较明显、真题优先、老师需按个人基础选择；属于经验而非事实",低中,仅作方向参考,个人真题验证,"不采纳YYDS/必提分等评价"
2026-09-13,公考知识Skill,GitHub公开Skill,WangJunqing-coder/huasheng13-skill,"模块拆分完整，资料含ABRX/速算/份数，判断/言语/数量各自成体系；适合作为知识索引",中,是-仅结构参考,与公开课程和标准规则交叉核验,"网友整理，非老师官方Skill；固定顺序/时间不直接采用"
2026-09-13,行测复盘闭环,GitHub公开Skill,liuyuexi1987/xingce-review-pro,"将题型识别、答案核验、方法选择、速度评估、错因卡、弱点档案和结构化写回连成闭环，适合工作台设计",高-工作流层面,是-已吸收,用本仓库连续训练检验,"已用于训练/错题/写回架构"
2026-09-13,公考系统Skill,GitHub公开Skill,KeWang0622/kaogong-skill,"按行测/申论/时政/报考/计划分模块，并对官方/权威媒体/行业整理做来源分级；适合仓库事实核验政策",高-工作流层面,是-已吸收,后续制度信息核验,"不直接搬其题库或教程"
2026-09-13,学习工作流,GitHub公开Skill,Daniel-Sun-9527/study-coach-skill,"强调诊断、主动回忆、测试、错题复盘和间隔复习，适合改造成行测框架恢复→闭卷回忆→真题验证闭环",中高,是-采用工作流,连续训练完成率与复测效果,"仅借鉴学习流程，不依赖其考试内容"
